"Funnel activity","Workload type","Best surface","Why"
"Phase 1 — Inventory: repo scan","Local file system + git access","Comet (or local CLI, not an agent at all)","Web app's sandbox can't read your jarvis-trader clone or .pine files. Comet can drive a local terminal-adjacent flow or just do it via your IDE. Honestly: this is a python phase1_inventory.py call — no agent needed."
"Phase 1 — Bookmark export from OneDrive","OneDrive auth","Web app","You already have the OneDrive connector. Web app pulls bookmarks.html natively, no browser session needed."
"Phase 1 — X bookmark scrape (if going beyond OneDrive export)","Authenticated X.com session","Comet","X requires login; web app sandbox hits a wall. This is exactly the use case the local-browser bridge solves."
"Phase 1 — Hypothesis dedup & card generation","Pure LLM reasoning on JSONL","Either — slight edge to Web app","Long-running analysis, no auth needed, deliverable-shaped (produces strategies_v1.jsonl). Web app handles file artifacts cleanly."
"Phase 2 — Smoke test execution","Heavy compute on your machine, ~30 strategies × ES bars","Local CLI","Neither surface runs your backtests. Both surfaces only generate the configs and read the results. Don't conflate ""agent"" with ""compute."""
"Phase 2 — Config gen + kill-list writeup","Code gen + analysis","Web app","Pure deliverable work. Run it in a background agent while you're doing something else."
"Phase 3 — Robustness battery execution","The 10-step heavy lift, hours of CPU","Local CLI","Same as Phase 2 — happens on your machine."
"Phase 3 — Results synthesis, Tier A/B/C writeup","Reading results/*.json, producing markdown report","Web app","Long-running deliverable, no local-session need (OneDrive connector reads the results dir). Schedule it."
"Phase 4 — Combination analysis","Correlation matrix + ensemble math on a few survivors","Web app","Small data, big writeup. Perfect web-app job."
"Tracker — Weekly Monday 6am job","Read OneDrive results dir → HTML tearsheet → notify","Web app, scheduled cron","This is the canonical fire-and-forget use case. Comet can't reliably run unattended on Monday 6am if your laptop is asleep."
"Ad-hoc ""is this bookmark already in the funnel?"" mid-research","You're reading X, want quick answer","Comet sidebar","'@tab the X post, ask if it dedups against strategies_vN.jsonl on OneDrive. Zero context-switch."
"Promote/demote decisions during review session","Interactive, you + agent looking at metrics together","Comet","Side-by-side with the tearsheet open. Web app forces you into a streamed VM view."
